2026-04-20 16:03:25,118 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:25,119 | INFO | autonomous_drone | Step 46 completed. action=left
2026-04-20 16:03:25,221 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:25,437 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:25,438 | INFO | autonomous_drone | Step 47 completed. action=right
2026-04-20 16:03:25,541 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:25,757 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:25,758 | INFO | autonomous_drone | Step 48 completed. action=hover
2026-04-20 16:03:25,862 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:26,093 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:26,095 | INFO | autonomous_drone | Step 49 completed. action=forward
2026-04-20 16:03:26,200 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:26,415 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:26,416 | INFO | autonomous_drone | Step 50 completed. action=right
2026-04-20 16:03:26,518 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:26,733 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:26,734 | INFO | autonomous_drone | Step 51 completed. action=hover
2026-04-20 16:03:26,836 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:27,060 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:27,061 | INFO | autonomous_drone | Step 52 completed. action=right
2026-04-20 16:03:27,165 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:27,375 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:27,376 | INFO | autonomous_drone | Step 53 completed. action=hover
2026-04-20 16:03:27,479 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:27,694 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:27,695 | INFO | autonomous_drone | Step 54 completed. action=right
2026-04-20 16:03:27,797 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:28,016 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:28,016 | INFO | autonomous_drone | Step 55 completed. action=forward
2026-04-20 16:03:28,120 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:28,331 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:28,332 | INFO | autonomous_drone | Step 56 completed. action=left
2026-04-20 16:03:28,434 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:28,659 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:28,660 | INFO | autonomous_drone | Step 57 completed. action=hover
2026-04-20 16:03:28,762 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:28,977 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:28,978 | INFO | autonomous_drone | Step 58 completed. action=right
2026-04-20 16:03:29,081 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:29,297 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:29,297 | INFO | autonomous_drone | Step 59 completed. action=right
2026-04-20 16:03:29,400 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:29,614 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:29,614 | INFO | autonomous_drone | Step 60 completed. action=hover
2026-04-20 16:03:29,718 | DEBUG | autonomous_drone | RL agent selected action: hover
2026-04-20 16:03:29,938 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:29,939 | INFO | autonomous_drone | Step 61 completed. action=hover
2026-04-20 16:03:30,042 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:30,254 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:30,254 | INFO | autonomous_drone | Step 62 completed. action=left
2026-04-20 16:03:30,357 | DEBUG | autonomous_drone | RL agent selected action: right
2026-04-20 16:03:30,586 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=1.00 vz=0.00 d=0.20
2026-04-20 16:03:30,588 | INFO | autonomous_drone | Step 63 completed. action=right
2026-04-20 16:03:30,696 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:30,920 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:30,921 | INFO | autonomous_drone | Step 64 completed. action=left
2026-04-20 16:03:31,026 | DEBUG | autonomous_drone | RL agent selected action: forward
2026-04-20 16:03:31,240 | DEBUG | autonomous_drone | Move command: vx=2.00 vy=0.00 vz=0.00 d=0.20
2026-04-20 16:03:31,241 | INFO | autonomous_drone | Step 65 completed. action=forward
2026-04-20 16:03:31,345 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:31,561 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:31,562 | INFO | autonomous_drone | Step 66 completed. action=left
2026-04-20 16:03:31,665 | DEBUG | autonomous_drone | RL agent selected action: left
2026-04-20 16:03:31,878 | DEBUG | autonomous_drone | Move command: vx=0.00 vy=-1.00 vz=0.00 d=0.20
2026-04-20 16:03:31,878 | INFO | autonomous_drone | Step 67 completed. action=left
2026-04-20 16:03:31,981 | DEBUG | autonomous_drone | RL agent selected action: hover
